client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
41e3d72db47c0bd8c5a5cde0bf293316910918bf6d4cf32e91d80175127c39d94299ae38985b440d6c49e670c1f34bed47562cb43042a58e12d993b78f02add3	common_voice_de_21890804.mp3	Hei	1	2	fifties	female	austria	de	Benchmark
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8	common_voice_de_21894364.mp3	Hei	1	2	fourties	male	germany	de	Benchmark
10ba8f3d8506d28933ddef0b8e1c8b8e1a7deff921c7b3ba97eb3211703e2fe7d4e09cd18de4bc24f46e5e7ae480d008d3e31087bc35d92061cc7262569af21f	common_voice_de_21894541.mp3	Hei	0	2	thirties	male	austria	de	Benchmark
3a087733905d70e986cd69b4818734cf54b124775035a8439af3c0b18ce5207517b2724a9b3e2286eb7521b993b0b173ca270ab07ecb078996f45083d8854631	common_voice_de_21895508.mp3	zwei	0	2	fifties	male	austria	de	Benchmark
51624fb6de9726f755ba88fd10844bc6fce30aebd5aa1d3683084ea0c98f2ea6fd2d5a2f891bbec322fe669d7facf5b0b75c11052a85eaf6bfaf41cd507e0ab1	common_voice_de_21895663.mp3	acht	0	2	twenties	male	germany	de	Benchmark
51624fb6de9726f755ba88fd10844bc6fce30aebd5aa1d3683084ea0c98f2ea6fd2d5a2f891bbec322fe669d7facf5b0b75c11052a85eaf6bfaf41cd507e0ab1	common_voice_de_21895664.mp3	nein	0	2	twenties	male	germany	de	Benchmark
51624fb6de9726f755ba88fd10844bc6fce30aebd5aa1d3683084ea0c98f2ea6fd2d5a2f891bbec322fe669d7facf5b0b75c11052a85eaf6bfaf41cd507e0ab1	common_voice_de_21895665.mp3	fünf	0	2	twenties	male	germany	de	Benchmark
51624fb6de9726f755ba88fd10844bc6fce30aebd5aa1d3683084ea0c98f2ea6fd2d5a2f891bbec322fe669d7facf5b0b75c11052a85eaf6bfaf41cd507e0ab1	common_voice_de_21895666.mp3	Hei	0	2	twenties	male	germany	de	Benchmark
51624fb6de9726f755ba88fd10844bc6fce30aebd5aa1d3683084ea0c98f2ea6fd2d5a2f891bbec322fe669d7facf5b0b75c11052a85eaf6bfaf41cd507e0ab1	common_voice_de_21895667.mp3	Firefox	0	2	twenties	male	germany	de	Benchmark
88a74ff789a4d81ffa9a8f42ca2b1eacdc5e6016fd7856dfa1e786f81261fd6f1aebbaca575cc49a6d33ea7159a76ebb29ffc24419986a77cbc09421de1245ff	common_voice_de_21901791.mp3	Firefox	0	2				de	Benchmark
